time,open,high,low,close,volume,return_1d,ma_5,ma_20,ma_50,volume_ma_20
2024-03-28,19.86,20.07,19.79,19.9,12429800,0.012722646310432628,19.646,19.322499999999998,18.973399999999998,11187865.0
2024-03-29,19.93,20.11,19.76,20.0,13496333,0.005025125628140836,19.694,19.347,19.0112,11352601.2
2024-04-01,19.79,20.0,19.72,19.97,6180472,-0.0015000000000000568,19.828,19.369999999999997,19.0554,11000423.1
2024-04-02,19.86,19.93,19.58,19.93,10414778,-0.0020030045067600533,19.889999999999997,19.3855,19.0974,11204173.45
2024-04-03,19.79,19.93,19.58,19.65,10205483,-0.014049172102358343,19.89,19.3995,19.1338,11224480.1
2024-04-04,19.69,19.69,19.34,19.34,11161719,-0.01577608142493636,19.778,19.4015,19.1612,11274008.2
2024-04-05,19.16,19.23,19.02,19.05,12293515,-0.01499482936918295,19.588,19.405,19.178,10737448.2
2024-04-08,19.05,19.12,18.91,19.05,6874403,0.0,19.404,19.419,19.1898,10480013.9
2024-04-09,19.05,19.16,18.98,19.16,5374934,0.005774278215223028,19.25,19.438499999999998,19.2074,10332816.35
2024-04-10,19.26,19.37,19.02,19.02,5127160,-0.007306889352818424,19.124000000000002,19.419,19.2256,10142153.1
2024-04-11,18.95,19.05,18.88,19.05,11290085,0.001577287066246047,19.066,19.415499999999998,19.2444,10295020.5
2024-04-12,19.09,19.65,18.95,19.65,9772642,0.03149606299212593,19.186,19.438499999999998,19.2682,10392220.6
2024-04-15,19.51,19.65,18.84,18.84,16263243,-0.04122137404580151,19.144,19.4365,19.2808,10498994.15
2024-04-16,18.84,19.05,18.77,19.05,17356891,0.011146496815286566,19.122,19.447,19.297600000000003,11010576.35
2024-04-17,19.09,19.12,18.77,18.77,10485319,-0.014698162729658848,19.072000000000003,19.420499999999997,19.311600000000002,10834326.7
2024-04-19,18.67,18.81,18.56,18.67,10866833,-0.005327650506126713,18.996,19.3715,19.32,10736464.85
2024-04-22,18.88,18.91,18.74,18.81,6317643,0.007498660953401126,18.828,19.324,19.327800000000003,9917917.8
2024-04-23,18.81,18.91,18.63,18.7,8544832,-0.005847953216374213,18.8,19.294,19.311600000000002,9835319.85
2024-04-24,18.81,19.02,18.74,18.98,6684776,0.01497326203208571,18.786,19.262,19.3002,9855185.3
2024-04-25,18.95,18.98,18.77,18.81,5144590,-0.008956796628029617,18.794,19.22,19.2834,9814272.55
2024-04-26,18.81,18.95,18.67,18.84,5446804,0.0015948963317384823,18.828,19.166999999999998,19.278399999999998,9465122.75
2024-05-02,18.84,19.05,18.81,18.95,4801959,0.0058386411889597145,18.856,19.1145,19.27,9030404.05
2024-05-03,19.02,19.3,19.02,19.3,8722742,0.018469656992084582,18.976,19.081,19.2672,9157517.55
2024-05-06,19.3,19.44,19.19,19.37,7449978,0.0036269430051814044,19.054,19.053,19.2678,9009277.55
2024-05-07,19.48,19.51,19.3,19.41,4305048,0.0020650490449147796,19.174,19.041,19.2672,8714255.8
2024-05-08,19.3,19.41,19.16,19.34,4040821,-0.003606388459556964,19.274,19.041,19.2658,8358210.9
2024-05-09,19.37,19.51,19.3,19.37,4105414,0.0015511892450879028,19.358,19.057,19.27,7948805.85
2024-05-10,19.37,19.44,19.26,19.44,4913057,0.0036138358286008643,19.386000000000003,19.0765,19.272800000000004,7850738.55
2024-05-13,19.65,19.65,19.41,19.44,5555670,0.0,19.4,19.0905,19.2742,7859775.35
2024-05-14,19.44,19.58,19.41,19.48,4474265,0.002057613168724215,19.414,19.1135,19.270799999999998,7827130.6
2024-05-15,19.55,19.55,19.44,19.44,7807457,-0.002053388090349051,19.434,19.133000000000003,19.2666,7652999.2
2024-05-16,19.65,19.93,19.51,19.83,30211993,0.020061728395061484,19.526,19.142,19.273,8674966.75
2024-05-17,19.83,19.93,19.79,19.83,8509864,0.0,19.604,19.1915,19.2794,8287297.8
2024-05-20,20.0,20.04,19.79,19.83,9339952,0.0,19.682,19.2305,19.2836,7886450.85
2024-05-21,19.83,19.86,19.55,19.79,10828854,-0.0020171457387795355,19.744,19.2815,19.292,7903627.6
2024-05-22,19.79,19.83,19.58,19.62,9288338,-0.008590197069226813,19.78,19.329,19.2984,7824702.85
2024-05-23,19.65,20.0,19.65,19.97,10454272,0.01783893985728846,19.808,19.387,19.3182,8031534.3
2024-05-24,19.97,21.19,19.83,20.53,33867112,0.028042063094642078,19.948,19.4785,19.3534,9297648.3
2024-05-27,20.7,20.95,20.53,20.67,7541858,0.006819288845591798,20.116000000000003,19.563,19.3914,9340502.4
2024-05-28,20.84,20.84,20.56,20.81,10694176,0.006773101112723667,20.32,19.663,19.4194,9617981.7
2024-05-29,20.84,20.88,20.53,20.53,13456310,-0.013455069678039333,20.502,19.747500000000002,19.4476,10018457.0
2024-05-30,20.46,20.63,20.25,20.63,13118384,0.004870920603994078,20.633999999999997,19.8315,19.4764,10434278.25
2024-05-31,20.89,21.14,20.6,20.6,11139289,-0.0014541929229276995,20.648,19.8965,19.510800000000003,10555105.6
2024-06-03,20.76,20.85,20.55,20.72,16257238,0.005825242718446422,20.657999999999998,19.964000000000002,19.5484,10995468.6
2024-06-04,20.72,20.72,20.43,20.47,9735560,-0.012065637065637014,20.59,20.017,19.5718,11266994.2
2024-06-05,20.68,20.68,20.3,20.34,10801981,-0.006350757205666802,20.552,20.067,19.5856,11605052.2
2024-06-06,20.39,20.47,20.3,20.34,8033240,0.0,20.494,20.1155,19.5972,11801443.5
2024-06-07,20.51,20.6,20.3,20.55,5892570,0.010324483775811188,20.484,20.171,19.6222,11850419.15
2024-06-10,20.55,20.64,20.3,20.39,7679882,-0.007785888077858849,20.418,20.2185,19.6376,11956629.75
2024-06-11,20.39,20.43,20.14,20.18,9213280,-0.010299166257969672,20.36,20.2535,19.648200000000003,12193580.5
2024-06-12,20.18,20.51,19.97,20.51,10400953,0.016352824578790948,20.394,20.307,19.660400000000003,12323255.3
