date,open,high,low,close,volume,return_1d,ma_5,ma_20,ma_50
2024-04-12 07:00:00,84.83,84.83,83.66,84.54,1367300,0.0052318668252082645,83.414,83.98349999999999,80.4816
2024-04-15 07:00:00,84.54,84.61,81.61,81.68,3701900,-0.03383013957889758,83.26599999999999,83.932,80.7114
2024-04-16 07:00:00,81.98,82.86,81.61,82.71,3642700,0.012610186092066433,83.266,83.9685,80.9662
2024-04-17 07:00:00,82.78,82.78,81.68,81.83,1943300,-0.010639584088985576,82.97200000000001,83.86949999999999,81.20179999999999
2024-04-19 07:00:00,80.88,81.39,79.78,79.78,5361100,-0.025051936942441566,82.10799999999999,83.606,81.335
2024-04-22 07:00:00,80.51,81.54,79.71,80.73,2397300,0.011907746302331379,81.346,83.4375,81.4564
2024-04-23 07:00:00,81.17,82.93,80.44,82.2,4037600,0.01820884429580083,81.45,83.3755,81.5852
2024-04-24 07:00:00,83.15,87.91,82.86,87.91,10158700,0.06946472019464722,82.49,83.56249999999999,81.8196
2024-04-25 07:00:00,89.66,93.69,89.22,90.18,5707700,0.025821863269252843,84.16,83.85549999999999,82.08760000000001
2024-04-26 07:00:00,90.03,91.79,89.44,90.18,3396500,0.0,86.24000000000001,84.079,82.3688
2024-05-02 07:00:00,90.62,94.42,90.4,93.18,3469300,0.03326679973386559,88.73,84.4745,82.6938
2024-05-03 07:00:00,93.76,93.98,91.93,92.15,3191200,-0.011053874221936044,90.72,84.80749999999999,82.9998
2024-05-06 07:00:00,92.59,93.4,91.13,93.4,2704600,0.013564839934888662,91.81800000000001,85.19550000000001,83.34100000000001
2024-05-07 07:00:00,93.69,96.32,93.1,96.1,3122800,0.02890792291220534,93.002,85.788,83.7128
2024-05-08 07:00:00,95.23,95.88,94.64,95.88,3017800,-0.0022892819979187795,94.142,86.41,84.0992
2024-05-09 07:00:00,95.59,97.2,95.15,95.37,2203300,-0.005319148936170137,94.58,87.0175,84.48559999999999
2024-05-10 07:00:00,96.1,96.76,94.57,95.88,3789700,0.0053475935828875,95.326,87.6905,84.82220000000001
2024-05-13 07:00:00,96.1,96.25,94.27,94.93,1852200,-0.009908218606591412,95.63199999999999,88.3015,85.14119999999998
2024-05-14 07:00:00,95.15,96.4,94.86,95.52,2304600,0.0062151058674810855,95.516,88.9125,85.4632
2024-05-15 07:00:00,96.25,98.45,96.1,98.15,3653100,0.02753350083752104,95.97,89.615,85.83059999999999
2024-05-16 07:00:00,99.25,100.5,98.23,99.1,3119000,0.009679062659194937,96.71600000000001,90.343,86.19059999999999
2024-05-17 07:00:00,99.1,99.54,97.86,98.45,2306400,-0.006559031281533678,97.23,91.1815,86.52879999999999
2024-05-20 07:00:00,98.96,99.62,97.35,97.35,2013500,-0.011173184357541999,97.714,91.9135,86.85520000000001
2024-05-21 07:00:00,98.08,99.54,97.72,99.54,3471900,0.022496147919876863,98.518,92.799,87.24880000000002
2024-05-22 07:00:00,100.94,102.25,99.62,101.01,4511800,0.014767932489451407,99.09,93.8605,87.63980000000001
2024-05-23 07:00:00,100.64,100.86,98.81,100.64,3621500,-0.003663003663003761,99.398,94.85600000000001,88.0424
2024-05-24 07:00:00,101.01,101.01,95.59,96.54,13375600,-0.040739268680445084,99.01599999999999,95.57300000000001,88.363
2024-05-27 07:00:00,97.35,97.72,95.59,97.2,5157800,0.006836544437538894,98.98600000000002,96.03750000000001,88.669
2024-05-28 07:00:00,98.08,100.28,97.42,100.28,4625300,0.03168724279835389,99.134,96.5425,88.9618
2024-05-29 07:00:00,100.35,101.16,98.67,99.32,5837600,-0.009573195053849348,98.796,96.9995,89.23540000000001
2024-05-30 07:00:00,97.93,98.81,96.54,98.81,7261300,-0.005134917438582298,98.43,97.28099999999999,89.5134
2024-05-31 07:00:00,98.81,100.13,97.93,98.52,2633500,-0.0029349256148163416,98.826,97.5995,89.82959999999999
2024-06-03 07:00:00,98.81,100.72,98.59,100.2,7773600,0.01705237515225333,99.426,97.9395,90.194
2024-06-04 07:00:00,101.74,101.96,100.86,101.81,7009800,0.016067864271457122,99.732,98.225,90.554
2024-06-05 07:00:00,102.47,106.06,102.25,102.54,6321600,0.007170219035458336,100.376,98.558,90.9038
2024-06-06 07:00:00,102.69,103.72,101.59,102.18,5211800,-0.003510825043885335,101.05,98.8985,91.26540000000001
2024-06-07 07:00:00,103.2,103.94,102.84,103.94,3756900,0.017224505774124044,102.134,99.3015,91.67540000000001
2024-06-10 07:00:00,105.03,106.13,104.67,105.4,3775400,0.014046565326149674,103.174,99.825,92.1
2024-06-11 07:00:00,105.62,107.23,104.74,107.23,6327300,0.017362428842504718,104.258,100.4105,92.5582
2024-06-12 07:00:00,108.42,112.48,108.33,111.89,11215500,0.04345798750349705,106.128,101.0975,93.0818
2024-06-13 07:00:00,113.33,113.42,110.2,110.2,8136200,-0.015104120117973019,107.73200000000001,101.6525,93.58040000000001
2024-06-14 07:00:00,110.28,112.4,109.35,111.04,6406200,0.007622504537205144,109.152,102.28200000000001,94.09140000000001
2024-06-17 07:00:00,111.04,111.38,108.92,109.18,4867600,-0.016750720461095048,109.90799999999999,102.87349999999999,94.56219999999999
2024-06-18 07:00:00,109.18,109.94,108.5,108.5,6680000,-0.006228246931672565,110.16199999999999,103.32149999999999,95.04719999999999
2024-06-19 07:00:00,108.5,112.57,107.32,111.47,9669200,0.027373271889400863,110.078,103.8445,95.60780000000001
2024-06-20 07:00:00,112.74,115.03,111.72,112.99,10465700,0.013635955862563831,110.63600000000001,104.46199999999999,96.2032
2024-06-21 07:00:00,113.5,115.37,112.99,115.37,7653300,0.02106381095672183,111.502,105.40350000000001,96.86220000000002
2024-06-24 07:00:00,114.44,114.86,111.89,111.98,13186900,-0.029383721938112117,112.06199999999998,106.1425,97.44760000000001
2024-06-25 07:00:00,111.04,111.13,109.01,110.2,13706800,-0.015895695659939313,112.402,106.6385,97.98559999999999
2024-06-26 07:00:00,111.04,111.72,109.69,111.72,7147400,0.01379310344827589,112.452,107.2585,98.53800000000001
2024-06-27 07:00:00,111.3,113.67,110.88,112.57,6403700,0.007608306480486826,112.36800000000001,107.94650000000001,99.09859999999999
2024-06-28 07:00:00,112.57,112.57,110.54,110.62,6633000,-0.017322554854756977,111.418,108.5515,99.67739999999999
2024-07-01 07:00:00,110.54,110.54,108.92,109.01,6376000,-0.014554330139215366,110.824,108.99199999999999,100.2034
2024-07-02 07:00:00,109.01,111.98,108.08,108.5,6720600,-0.004678469865150081,110.484,109.32649999999998,100.7368
2024-07-03 07:00:00,110.62,112.57,110.28,111.04,7634100,0.023410138248848078,110.348,109.7515,101.362
2024-07-04 07:00:00,111.98,115.11,111.98,115.11,8117900,0.036653458213256496,110.85600000000002,110.398,102.04960000000001
2024-07-05 07:00:00,115.37,118.42,115.37,117.57,7789400,0.021370862653114386,112.24600000000001,111.07950000000001,102.757
2024-07-08 07:00:00,117.4,118.33,116.55,118.33,5865700,0.006464234073318087,114.10999999999999,111.726,103.36540000000001
2024-07-09 07:00:00,117.91,118.08,115.28,116.55,9676100,-0.01504267725851438,115.72,112.19200000000001,103.89280000000001
2024-07-10 07:00:00,115.28,116.13,113.59,113.59,6294700,-0.025396825396825307,116.22999999999999,112.277,104.361
2024-07-11 07:00:00,113.67,114.77,112.32,112.74,6842100,-0.007483053085658997,115.756,112.40400000000002,104.75220000000002
2024-07-12 07:00:00,112.06,115.28,112.06,113.42,3553400,0.006031577080007233,114.926,112.523,105.1776
2024-07-15 07:00:00,113.16,114.26,112.15,112.48,3067200,-0.008287779932992345,113.756,112.68800000000002,105.5592
2024-07-16 07:00:00,113.25,114.01,112.15,113.59,4002300,0.009868421052631637,113.16400000000002,112.9425,105.90899999999999
2024-07-17 07:00:00,113.59,113.67,110.11,111.81,6970100,-0.015670393520556436,112.80799999999999,112.9595,106.2276
2024-07-18 07:00:00,111.38,111.38,108.33,108.42,10800200,-0.03031929165548697,111.944,112.731,106.4886
2024-07-19 07:00:00,109.01,109.6,106.81,106.81,6551700,-0.014849658734550797,110.622,112.303,106.7072
2024-07-22 07:00:00,106.81,106.81,104.43,105.2,6216900,-0.015073494991105663,109.16600000000001,111.96400000000001,106.9126
2024-07-23 07:00:00,105.87,108.08,105.79,106.38,5311600,0.011216730038022815,107.724,111.77299999999998,107.12979999999999
2024-07-24 07:00:00,106.38,107.32,105.11,106.81,4151700,0.004042113179169027,106.724,111.5275,107.30300000000001
2024-07-25 07:00:00,105.28,106.38,105.2,105.96,2563400,-0.007958056361763943,106.232,111.19699999999997,107.4402
2024-07-26 07:00:00,106.72,108.5,105.45,108.5,3951100,0.023971309928274787,106.57000000000001,111.09099999999998,107.64120000000001
